id,State (group),Charge (group),file matches parameter,Region,Charge/Gender,Country,File,File by parameter,State,Title 1,Year,Year1,All state count,Count,Per state count,state %,FromYear
574,IL,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,1286,1286,0.052873941,2019
575,CO,Disability Based,True,West,Disability,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,504,504,0.02072198,2019
576,OK,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,358,358,0.011890527,2019
577,MD,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,639,639,0.021223595,2019
578,MO,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,79,79,0.011276049,2019
579,MS,Race,True,South,Race,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,499,499,0.020815952,2019
580,WI,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,378,378,0.009667766,2019
581,KS,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,135,135,0.008672191,2019
582,GA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,310,310,0.044247788,2019
583,NC,Sex,True,South,Sex,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,1016,1016,0.043180756,2019
584,AK,Age Based,True,West,Age,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,15,15,0.000963577,2019
585,NM,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,138,138,0.004583499,2019
586,GA,Sex,True,South,Sex,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,1515,1515,0.064388627,2019
587,NJ,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2019 EPA,1/1/2019,1117,30,30,0.026857654,2019
588,WA,Religion,True,West,Religion,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,59,59,0.021659325,2019
589,DC,Age Based,True,South,Age,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,114,114,0.007323184,2019
590,GU,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,0,0,0.0,2019
591,VT,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,1,1,0.000367107,2019
592,CA,GINA,True,West,GINA,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,18,18,0.086124402,2019
593,AP,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,0,0,0.0,2019
594,GU,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,0,0,0.0,2019
595,WQ,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,0,0,0.0,2019
596,FL,Sex,True,South,Sex,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,1848,1848,0.078541374,2019
597,NJ,Race,True,Northeast,Race,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,476,476,0.019856499,2019
598,FL,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,2610,2610,0.086687923,2019
599,TN,Race,True,South,Race,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,889,889,0.037084932,2019
600,OR,Color Based,True,West,Color,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2019 Color,1/1/2019,3415,6,6,0.001756955,2019
601,CA,Age Based,True,West,Age,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,1065,1065,0.068413953,2019
602,PW,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,0,0,0.0,2019
603,VT,TVII Retaliation,True,Northeast,Retaliation (TVII),US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,9,9,0.000298924,2019
604,PR,TVII Retaliation,True,Territories/Armed Forces,Retaliation (TVII),US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,66,66,0.002192108,2019
605,KS,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,470,470,0.012020768,2019
606,RI,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,27,27,0.001110106,2019
607,NV,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,414,414,0.013750498,2019
608,AR,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,463,463,0.011841735,2019
609,FL,Disability Based,True,South,Disability,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,1995,1995,0.082024505,2019
610,AS,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,0,0,0.0,2019
611,WA,Race,True,West,Race,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,330,330,0.01376606,2019
612,MS,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,510,510,0.013043812,2019
613,ME,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,13,13,0.00055251,2019
614,MP,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,28,28,0.003996574,2019
615,RI,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,17,17,0.000722513,2019
616,NJ,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,348,348,0.022354982,2019
617,VI,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,3,3,0.000123345,2019
618,WI,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,241,241,0.010242679,2019
619,LA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,59,59,0.008421353,2019
620,NY,Race,True,Northeast,Race,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,881,881,0.03675121,2019
621,MS,GINA,True,South,GINA,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,4,4,0.019138756,2019
622,MH,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,0,0,0.0,2019
623,MN,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,276,276,0.009166999,2019
624,VA,GINA,True,South,GINA,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,7,7,0.033492823,2019
625,ND,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,12,12,0.000770861,2019
626,DC,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,286,286,0.007314765,2019
627,WV,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,37,37,0.000946316,2019
628,WI,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,293,293,0.012046707,2019
629,OH,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,100,100,0.03671072,2019
630,PW,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,0,0,0.0,2019
631,WI,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,294,294,0.009764847,2019
632,VI,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,1,1,6.423845314e-05,2019
633,NH,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,4,4,0.019138756,2019
634,PR,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2019 Color,1/1/2019,3415,13,13,0.003806735,2019
635,MO,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,937,937,0.023964807,2019
636,HI,GINA,True,West,GINA,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,1,1,0.004784689,2019
637,DE,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,6,6,0.002202643,2019
638,NV,Religion,True,West,Religion,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,40,40,0.014684288,2019
639,WI,Race,True,Midwest,Race,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,329,329,0.013724345,2019
640,NM,Religion,True,West,Religion,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,16,16,0.005873715,2019
641,NY,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,1209,1209,0.051383399,2019
642,AZ,Disability Based,True,West,Disability,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,640,640,0.026313626,2019
643,PR,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,86,86,0.003655064,2019
644,CO,Race,True,West,Race,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,343,343,0.01430836,2019
645,CT,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,91,91,0.003867568,2019
646,CO,Age Based,True,West,Age,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,363,363,0.023318558,2019
647,AS,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,0,0,0.0,2019
648,AL,Religion,True,South,Religion,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,44,44,0.016152717,2019
649,FM,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2019 Religion,1/1/2019,2724,0,0,0.0,2019
650,MH,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,0,0,0.0,2019
651,GU,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2019 Color,1/1/2019,3415,1,1,0.000292826,2019
652,TX,Age Based,True,South,Age,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,1633,1633,0.104901394,2019
653,RI,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,8,8,0.001141878,2019
654,SD,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,17,17,0.000698956,2019
655,MA,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,114,114,0.004687115,2019
656,CO,GINA,True,West,GINA,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,1,1,0.004784689,2019
657,NE,Race,True,Midwest,Race,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,27,27,0.001126314,2019
658,LA,Race,True,South,Race,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,551,551,0.022985149,2019
659,TX,GINA,True,South,GINA,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2019 GINA,1/1/2019,209,20,20,0.09569378,2019
660,HI,Race,True,West,Race,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2019 Race,1/1/2019,23972,82,82,0.003420657,2019
661,OR,Sex,True,West,Sex,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,71,71,0.003017553,2019
662,WA,Age Based,True,West,Age,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2019 Age,1/1/2019,15567,270,270,0.017344382,2019
663,CT,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2019 National Origin,1/1/2019,7006,35,35,0.004995718,2019
664,NM,Sex,True,West,Sex,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2019 Sex,1/1/2019,23529,145,145,0.006162608,2019
665,CO,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,805,805,0.020588762,2019
666,TN,Disability Based,True,South,Disability,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2019 Disability,1/1/2019,24322,769,769,0.031617466,2019
667,PW,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2019 Color,1/1/2019,3415,0,0,0.0,2019
668,IN,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2019 Retaliation All Statutes,1/1/2019,39099,982,982,0.025115732,2019
669,LA,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2019 TVII Retaliation  Statutes,1/1/2019,30108,670,670,0.022253222,2019
670,NJ,Color Based,True,Northeast,Color,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2019 Color,1/1/2019,3415,67,67,0.019619327,2019
0,NH,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,2,2,0.001876173,2018
1,ME,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,0,0,0.0,2018
2,MH,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,0,0,0.0,2018
3,CA,Race,True,West,Race,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2018 Race,1/1/2018,24598,1365,1365,0.055492316,2018
4,CA,Age Based,True,West,Age,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,1062,1062,0.062810504,2018
5,AL,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2018 Retaliation All Statutes,1/1/2018,39466,1208,1208,0.030608625,2018
6,CT,Color Based,True,Northeast,Color,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2018 Color,1/1/2018,3166,21,21,0.006632975,2018
7,MS,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,601,601,0.019670736,2018
8,MI,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,MI,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,89,89,0.031129766,2018
9,KY,Disability Based,True,South,Disability,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2018 Disability,1/1/2018,24650,242,242,0.009817444,2018
10,PA,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,PA,EEOC Charge Receipts by State,FY 2018 Disability,1/1/2018,24650,1665,1665,0.067545639,2018
11,AP,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2018 Retaliation All Statutes,1/1/2018,39466,1,1,2.533826585e-05,2018
12,ND,Race,True,Midwest,Race,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2018 Race,1/1/2018,24598,19,19,0.000772421,2018
13,IL,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,52,52,0.048780488,2018
14,IN,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,699,699,0.022878277,2018
15,KY,Religion,True,South,Religion,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,28,28,0.009793634,2018
16,PA,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,PA,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,1014,1014,0.059971611,2018
17,MS,Color Based,True,South,Color,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2018 Color,1/1/2018,3166,18,18,0.005685407,2018
18,OH,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2018 National Origin,1/1/2018,7104,132,132,0.018581081,2018
19,SC,Sex,True,South,Sex,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,398,398,0.016144735,2018
20,TN,Disability Based,True,South,Disability,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2018 Disability,1/1/2018,24650,725,725,0.029411765,2018
21,FL,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2018 National Origin,1/1/2018,7104,950,950,0.133727477,2018
22,LA,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2018 Retaliation All Statutes,1/1/2018,39466,619,619,0.015684387,2018
23,RI,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,2,2,0.000699545,2018
24,MP,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,1,1,4.056466007e-05,2018
25,NJ,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,20,20,0.018761726,2018
26,KS,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,367,367,0.012011914,2018
27,FM,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2018 Color,1/1/2018,3166,0,0,0.0,2018
28,MT,Disability Based,True,West,Disability,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2018 Disability,1/1/2018,24650,6,6,0.000243408,2018
29,WV,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2018 Retaliation All Statutes,1/1/2018,39466,40,40,0.001013531,2018
30,RI,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,2,2,0.001876173,2018
31,MT,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2018 Retaliation All Statutes,1/1/2018,39466,17,17,0.000430751,2018
32,GU,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2018 GINA,1/1/2018,220,0,0,0.0,2018
33,MA,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,102,102,0.006032647,2018
34,NJ,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,79,79,0.027632039,2018
35,HI,Sex,True,West,Sex,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,97,97,0.003934772,2018
36,KS,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2018 EPA,1/1/2018,1066,14,14,0.013133208,2018
37,PW,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,0,0,0.0,2018
38,SC,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,509,509,0.016659575,2018
39,AK,Color Based,True,West,Color,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2018 Color,1/1/2018,3166,6,6,0.001895136,2018
40,WQ,TVII Retaliation,True,Territories/Armed Forces,Retaliation (TVII),US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,0,0,0.0,2018
41,WV,Sex,True,South,Sex,US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,34,34,0.001379198,2018
42,LA,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,551,551,0.018034236,2018
43,LA,Religion,True,South,Religion,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,24,24,0.008394544,2018
44,AK,Sex,True,West,Sex,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,31,31,0.001257504,2018
45,MS,Sex,True,South,Sex,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,514,514,0.020850235,2018
46,SC,Race,True,South,Race,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2018 Race,1/1/2018,24598,403,403,0.016383446,2018
47,NM,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,243,243,0.007953392,2018
48,NY,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,187,187,0.065407485,2018
49,SD,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,18,18,0.00058914,2018
50,IL,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2018 Sex,1/1/2018,24652,1484,1484,0.060197956,2018
51,WI,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2018 Color,1/1/2018,3166,34,34,0.010739103,2018
52,IL,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2018 National Origin,1/1/2018,7104,423,423,0.059543919,2018
53,MH,TVII Retaliation,True,Territories/Armed Forces,Retaliation (TVII),US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,0,0,0.0,2018
54,MN,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,194,194,0.011473859,2018
55,MP,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,7,7,0.000414005,2018
56,VA,Religion,True,South,Religion,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2018 Religion,1/1/2018,2859,102,102,0.03567681,2018
57,IL,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,1000,1000,0.059143601,2018
58,VT,TVII Retaliation,True,Northeast,Retaliation (TVII),US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2018 TVII Retaliation  Statutes,1/1/2018,30553,8,8,0.00026184,2018
59,ID,Age Based,True,West,Age,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2018 Age,1/1/2018,16908,8,8,0.000473149,2018
